      material  location  period     label       f_0     res_1       f_1  \
142        5.0       7.0   192.0  0.050000  0.138144 -0.088144  0.133341   
143        5.0       5.0    12.0  0.170000  0.138144  0.031856  0.138330   
144        5.0       5.0    24.0  0.140000  0.138144  0.001856  0.138330   
145        5.0       5.0    48.0  0.100000  0.138144 -0.038144  0.138330   
146        5.0       5.0    96.0  0.090000  0.138144 -0.048144  0.133341   
147        5.0       5.0   192.0  0.070000  0.138144 -0.068144  0.133341   
148        5.0      13.0    12.0  0.110000  0.138144 -0.028144  0.145557   
149        5.0      13.0    24.0  0.340000  0.138144  0.201856  0.145557   
150        5.0      13.0    48.0  0.420000  0.138144  0.281856  0.145557   
151        5.0      13.0    96.0  0.490000  0.138144  0.351856  0.145557   
152        5.0      11.0    12.0  0.180000  0.138144  0.041856  0.138330   
153        5.0      11.0    24.0  0.160000  0.138144  0.021856  0.138330   
154        5.0      11.0    48.0  0.140000  0.138144  0.001856  0.138330   
155        5.0      11.0    96.0  0.097000  0.138144 -0.041144  0.133341   
156        5.0      11.0   192.0  0.073000  0.138144 -0.065144  0.133341   
157        5.0      10.0    12.0  0.110000  0.138144 -0.028144  0.138330   
158        5.0      10.0    24.0  0.090000  0.138144 -0.048144  0.138330   
159        5.0      10.0    48.0  0.078000  0.138144 -0.060144  0.138330   
160        5.0      10.0    96.0  0.051000  0.138144 -0.087144  0.133341   
161        5.0      10.0   192.0  0.068000  0.138144 -0.070144  0.133341   
162        6.0       9.0    12.0  0.090000  0.138144 -0.048144  0.138330   
163        6.0       9.0    24.0  0.100000  0.138144 -0.038144  0.138330   
164        6.0       9.0    48.0  0.220000  0.138144  0.081856  0.138330   
165        6.0       9.0    96.0  0.250000  0.138144  0.111856  0.133341   
166        6.0       7.0    12.0  0.260000  0.138144  0.121856  0.138330   
167        6.0       7.0    24.0  0.160000  0.138144  0.021856  0.138330   
168        6.0       7.0    48.0  0.100000  0.138144 -0.038144  0.138330   
169        6.0       7.0    96.0  0.060000  0.138144 -0.078144  0.133341   
170        6.0       7.0   192.0  0.050000  0.138144 -0.088144  0.133341   
171        6.0       5.0    12.0  0.190000  0.138144  0.051856  0.138330   
172        6.0       5.0    24.0  0.140000  0.138144  0.001856  0.138330   
173        6.0       5.0    48.0  0.100000  0.138144 -0.038144  0.138330   
174        6.0       5.0    96.0  0.080000  0.138144 -0.058144  0.133341   
175        6.0       5.0   192.0  0.070000  0.138144 -0.068144  0.133341   
176        6.0      13.0    12.0  0.090000  0.138144 -0.048144  0.145557   
177        6.0      13.0    24.0  0.096000  0.138144 -0.042144  0.145557   
178        6.0      13.0    48.0  0.320000  0.138144  0.181856  0.145557   
179        6.0      13.0    96.0  0.320000  0.138144  0.181856  0.145557   
180        6.0      11.0    12.0  0.180000  0.138144  0.041856  0.138330   
181        6.0      11.0    24.0  0.130000  0.138144 -0.008144  0.138330   
182        6.0      11.0    48.0  0.130000  0.138144 -0.008144  0.138330   
183        6.0      11.0    96.0  0.098000  0.138144 -0.040144  0.133341   
184        6.0      11.0   192.0  0.073000  0.138144 -0.065144  0.133341   
185        6.0      10.0    12.0  0.150000  0.138144  0.011856  0.138330   
186        6.0      10.0    24.0  0.100000  0.138144 -0.038144  0.138330   
187        6.0      10.0    48.0  0.082000  0.138144 -0.056144  0.138330   
188        6.0      10.0    96.0  0.057000  0.138144 -0.081144  0.133341   
189        6.0      10.0   192.0  0.080000  0.138144 -0.058144  0.133341   
190        7.0       9.0    12.0  0.090000  0.138144 -0.048144  0.138330   
191        7.0       9.0    24.0  0.080000  0.138144 -0.058144  0.138330   
192        7.0       9.0    48.0  0.140000  0.138144  0.001856  0.138330   
193        7.0       9.0    96.0  0.200000  0.138144  0.061856  0.133341   
194        7.0       7.0    12.0  0.230000  0.138144  0.091856  0.138330   
195        7.0       7.0    24.0  0.140000  0.138144  0.001856  0.138330   
196        7.0       7.0    48.0  0.090000  0.138144 -0.048144  0.138330   
197        7.0       7.0    96.0  0.060000  0.138144 -0.078144  0.133341   
198        7.0       7.0   192.0  0.050000  0.138144 -0.088144  0.133341   
199        7.0       5.0    12.0  0.180000  0.138144  0.041856  0.138330   
200        7.0       5.0    24.0  0.130000  0.138144 -0.008144  0.138330   
201        7.0       5.0    48.0  0.090000  0.138144 -0.048144  0.138330   
202        7.0       5.0    96.0  0.080000  0.138144 -0.058144  0.133341   
203        7.0       5.0   192.0  0.070000  0.138144 -0.068144  0.133341   
204        7.0      13.0    12.0  0.078000  0.138144 -0.060144  0.145557   
205        7.0      13.0    24.0  0.072000  0.138144 -0.066144  0.145557   
206        7.0      13.0    48.0  0.220000  0.138144  0.081856  0.145557   
207        7.0      13.0    96.0  0.250000  0.138144  0.111856  0.145557   
208        7.0      11.0    12.0  0.170000  0.138144  0.031856  0.138330   
209        7.0      11.0    24.0  0.140000  0.138144  0.001856  0.138330   
210        7.0      11.0    48.0  0.120000  0.138144 -0.018144  0.138330   
211        7.0      11.0    96.0  0.100000  0.138144 -0.038144  0.133341   
212        7.0      11.0   192.0  0.085000  0.138144 -0.053144  0.133341   
213        7.0      10.0    12.0  0.140000  0.138144  0.001856  0.138330   
214        7.0      10.0    24.0  0.100000  0.138144 -0.038144  0.138330   
215        7.0      10.0    48.0  0.080000  0.138144 -0.058144  0.138330   
216        7.0      10.0    96.0  0.071000  0.138144 -0.067144  0.133341   
217        7.0      10.0   192.0  0.066000  0.138144 -0.072144  0.133341   
218        8.0       9.0    12.0  0.080000  0.138144 -0.058144  0.138330   
219        8.0       9.0    24.0  0.080000  0.138144 -0.058144  0.138330   
220        8.0       9.0    48.0  0.130000  0.138144 -0.008144  0.138330   
221        8.0       9.0    96.0  0.190000  0.138144  0.051856  0.133341   
222        8.0       7.0    12.0  0.250000  0.138144  0.111856  0.138330   
223        8.0       7.0    24.0  0.150000  0.138144  0.011856  0.138330   
224        8.0       7.0    48.0  0.090000  0.138144 -0.048144  0.138330   
225        8.0       7.0    96.0  0.050000  0.138144 -0.088144  0.133341   
226        8.0       7.0   192.0  0.040000  0.138144 -0.098144  0.133341   
227        8.0       5.0    12.0  0.160000  0.138144  0.021856  0.138330   
228        8.0       5.0    24.0  0.120000  0.138144 -0.018144  0.138330   
229        8.0       5.0    48.0  0.100000  0.138144 -0.038144  0.138330   
230        8.0       5.0    96.0  0.070000  0.138144 -0.068144  0.133341   
231        8.0       5.0   192.0  0.070000  0.138144 -0.068144  0.133341   
232        8.0      13.0    12.0  0.078000  0.138144 -0.060144  0.145557   
233        8.0      13.0    24.0  0.086000  0.138144 -0.052144  0.145557   
234        8.0      13.0    48.0  0.250000  0.138144  0.111856  0.145557   
235        8.0      13.0    96.0  0.300000  0.138144  0.161856  0.145557   
236        8.0      11.0    12.0  0.200000  0.138144  0.061856  0.138330   
237        8.0      11.0    24.0  0.160000  0.138144  0.021856  0.138330   
238        8.0      11.0    48.0  0.120000  0.138144 -0.018144  0.138330   
239        8.0      11.0    96.0  0.110000  0.138144 -0.028144  0.133341   
240        8.0      11.0   192.0  0.075000  0.138144 -0.063144  0.133341   
241        8.0      10.0    12.0  0.120000  0.138144 -0.018144  0.138330   
242        8.0      10.0    24.0  0.082000  0.138144 -0.056144  0.138330   
243        8.0      10.0    48.0  0.069000  0.138144 -0.069144  0.138330   
244        8.0      10.0    96.0  0.055000  0.138144 -0.083144  0.133341   
245        8.0      10.0   192.0  0.061000  0.138144 -0.077144  0.133341   
246        9.0       7.0    12.0  0.290000  0.138144  0.151856  0.138330   
247        9.0       7.0    24.0  0.150000  0.138144  0.011856  0.138330   
248        9.0       7.0    48.0  0.100000  0.138144 -0.038144  0.138330   
249        9.0       7.0    96.0  0.060000  0.138144 -0.078144  0.133341   
250        9.0       7.0   192.0  0.050000  0.138144 -0.088144  0.133341   
251        9.0       5.0   192.0  0.060000  0.138144 -0.078144  0.133341   
252        9.0       5.0   192.0  0.070000  0.138144 -0.068144  0.133341   
253        9.0       5.0    96.0  0.080000  0.138144 -0.058144  0.133341   
254        9.0       5.0    96.0  0.080000  0.138144 -0.058144  0.133341   
255        9.0       5.0    48.0  0.100000  0.138144 -0.038144  0.138330   
256        9.0      13.0    12.0  0.084000  0.138144 -0.054144  0.145557   
257        9.0      13.0    24.0  0.130000  0.138144 -0.008144  0.145557   
258        9.0      13.0    48.0  0.380000  0.138144  0.241856  0.145557   
259        9.0      11.0    12.0  0.220000  0.138144  0.081856  0.138330   
260        9.0      11.0    24.0  0.160000  0.138144  0.021856  0.138330   
261        9.0      11.0    48.0  0.140000  0.138144  0.001856  0.138330   
262        9.0      11.0    96.0  0.100000  0.138144 -0.038144  0.133341   
263        9.0      11.0   192.0  0.077000  0.138144 -0.061144  0.133341   
264        9.0      10.0    12.0  0.110000  0.138144 -0.028144  0.138330   
265        9.0      10.0    24.0  0.084000  0.138144 -0.054144  0.138330   
266        9.0      10.0    96.0  0.059000  0.138144 -0.079144  0.133341   
267        9.0      10.0   192.0  0.063000  0.138144 -0.075144  0.133341   
268        9.0       9.0    96.0  0.300000  0.138144  0.161856  0.133341   
269        9.0       9.0    48.0  0.230000  0.138144  0.091856  0.138330   
270        9.0       9.0    24.0  0.120000  0.138144 -0.018144  0.138330   
